X	Locus.Identifier	length	logFC	logCPM	PValue	FDR
AT4G15890	AT4G15890.1	4172	-0.888969188	1.605539819	0.001843027	0.00742452
AT3G12340	AT3G12340.1	1741	0.561647535	3.124812301	0.001843853	0.007426183
AT1G04425	AT1G04425.1	454	-1.718592986	0.193193592	0.001853735	0.007464313
AT4G04180	AT4G04180.1	2170	0.580325655	2.848646869	0.001854407	0.007465346
AT2G42760	AT2G42760.1	1247	0.805056499	4.646200769	0.001858667	0.007480822
AT1G07790	AT1G07790.1	728	-0.430148578	4.737288356	0.001863591	0.007498963
AT3G15500	AT3G15500.1	1271	1.561801826	1.892718929	0.001865852	0.007505451
AT5G55070	AT5G55070.1	1983	0.341339738	6.924156123	0.001866037	0.007505451
AT1G60420	AT1G60420.1	1988	0.367603693	5.002865953	0.001866612	0.007506083
AT4G11900	AT4G11900.1	2572	-0.518305513	3.482988722	0.001868066	0.007510252
AT5G02080	AT5G02080.1	805	-1.016407791	0.668278739	0.001872968	0.007528276
AT5G16060	AT5G16060.1	548	0.448097947	3.645088105	0.001875949	0.007538576
AT1G30200	AT1G30200.2	1735	-0.353341801	4.894667542	0.001877932	0.007544857
AT4G37080	AT4G37080.2	2309	-0.459957241	4.631152026	0.001879382	0.007548996
AT1G71310	AT1G71310.2	958	0.40189311	3.529813979	0.001880102	0.007550206
AT2G22250	AT2G22250.2	1734	-0.344130087	4.128612057	0.001886258	0.007573235
AT5G19480	AT5G19480.1	1065	0.658283113	3.346903805	0.001891183	0.007591313
AT1G26810	AT1G26810.1	2435	-0.700004233	1.71790322	0.001896326	0.007608891
AT3G20000	AT3G20000.1	1341	-0.335186102	5.714653004	0.001896407	0.007608891
AT2G20790	AT2G20790.1	2199	0.336998943	4.687525932	0.001898073	0.007613877
AT5G11720	AT5G11720.1	2850	-0.365224739	4.95699122	0.001900791	0.007623079
AT1G65032	AT1G65032.1	642	0.737123911	1.78427721	0.001902521	0.007628315
AT1G44920	AT1G44920.1	1108	-0.37850576	5.975715649	0.001911464	0.007662467
AT2G21630	AT2G21630.1	2384	-0.608267188	2.153016553	0.001915254	0.007675949
AT1G19670	AT1G19670.1	1279	0.804451443	9.564968234	0.00191866	0.007687885
AT4G34215	AT4G34215.1	1022	-0.380173166	4.059610897	0.001921749	0.007698551
AT2G02970	AT2G02970.1	2267	-0.329678841	4.410640951	0.00192227	0.007698924
AT4G18840	AT4G18840.1	1637	0.834902081	1.369214086	0.001924496	0.007706121
AT3G05790	AT3G05790.1	2810	1.091001835	0.903037746	0.00193265	0.007737051
AT1G53720	AT1G53720.1	1758	0.388141101	3.756165807	0.001940596	0.007767134
AT1G69840	AT1G69840.1	1268	0.487677803	5.064216342	0.00194172	0.007769902
AT2G21240	AT2G21240.1	1279	-0.345222781	4.438118976	0.001945731	0.007784223
AT5G02480	AT5G02480.1	2349	-0.330388384	5.597498541	0.001954039	0.007815723
AT5G56310	AT5G56310.1	2061	0.981539328	0.938799425	0.001957255	0.007826843
AT5G16400	AT5G16400.1	884	-0.374213478	6.243053458	0.001961055	0.007840296
AT3G55250	AT3G55250.1	1154	-0.39805529	6.187805044	0.001962193	0.007843103
AT1G07030	AT1G07030.1	1475	0.448224563	4.545350106	0.001966191	0.00785734
AT4G32000	AT4G32000.2	1392	-0.618413535	1.612249683	0.001967505	0.007860845
AT5G67140	AT5G67140.1	901	0.499522949	2.725280901	0.001971013	0.007873112
AT2G21560	AT2G21560.1	1240	0.840264296	2.552994122	0.001973505	0.007881317
AT1G18740	AT1G18740.1	1554	-0.522072137	5.438996745	0.001975347	0.007886921
AT3G12290	AT3G12290.1	1177	0.304224655	6.909832694	0.001980376	0.007905246
AT1G01840	AT1G01840.1	821	-1.048663466	0.415528858	0.001989865	0.007941362
AT4G29400	AT4G29400.1	1120	0.479618878	4.275100243	0.001997144	0.007968643
AT1G13790	AT1G13790.1	2401	0.734493378	2.663378603	0.002005929	0.008001922
AT5G67520	AT5G67520.1	1278	-1.248877095	0.856397738	0.00200683	0.008003741
AT4G19610	AT4G19610.1	2837	0.437944181	5.196588248	0.002013433	0.008028298
AT3G16570	AT3G16570.1	716	-0.72996261	5.441927087	0.002025846	0.008076003
AT5G02770	AT5G02770.1	1701	0.333139204	6.288513265	0.002027752	0.00808181
AT1G69960	AT1G69960.1	1276	-0.362218798	4.062386275	0.002035201	0.008109701
AT5G23430	AT5G23430.1	3332	0.461903237	3.690938032	0.002038433	0.008120782
AT4G12640	AT4G12640.1	2798	-0.484461092	3.428397369	0.002038946	0.008121026
AT1G06700	AT1G06700.1	1527	0.331792588	5.547431081	0.002042592	0.008133749
AT3G56240	AT3G56240.1	708	-0.498912687	5.890309825	0.002044078	0.008137863
AT5G47230	AT5G47230.1	1190	-1.490306952	1.007964633	0.00204529	0.008140888
AT3G55030	AT3G55030.1	1225	0.410854673	3.998848038	0.002052542	0.008167946
AT2G25820	AT2G25820.1	910	0.827270278	2.056717062	0.002058195	0.008188631
AT1G66230	AT1G66230.1	1184	-0.731320945	2.171475492	0.002059512	0.008192058
AT5G52950	AT5G52950.1	2844	-0.756841768	1.70389186	0.002061761	0.008199191
AT1G21710	AT1G21710.1	1385	-0.442617951	3.075693548	0.002073902	0.00824565
AT1G67140	AT1G67140.3	6829	-0.416539462	5.218330443	0.002074373	0.008245701
AT1G31750	AT1G31750.1	725	1.357506145	-0.113141048	0.002078083	0.008258624
AT3G51010	AT3G51010.1	855	0.372207936	5.055988395	0.002079366	0.008261896
AT4G13050	AT4G13050.1	1537	0.353540073	4.784116229	0.002080853	0.008265981
AT3G61830	AT3G61830.1	2334	-0.530638947	3.037346039	0.002082297	0.008269891
AT4G38890	AT4G38890.1	2281	-0.304838935	5.330461292	0.002084022	0.008274916
AT4G11570	AT4G11570.1	1474	0.34705112	7.474437404	0.002087294	0.008286079
AT3G29330	AT3G29330.2	763	-1.225948687	0.313635148	0.002090451	0.00829678
AT2G02750	AT2G02750.1	2389	1.018119934	1.919073601	0.002092033	0.008301227
AT2G35790	AT2G35790.1	918	-0.429450827	4.620479664	0.002097821	0.00832236
AT2G42880	AT2G42880.1	2428	-0.293647307	6.200128124	0.002098423	0.008322911
AT4G17100	AT4G17100.2	1531	-0.410892765	3.343930563	0.002109782	0.008366119
AT1G68020	AT1G68020.2	2916	-0.50681717	3.875052268	0.002112572	0.008375338
AT3G04450	AT3G04450.1	1403	-0.732626342	2.181328613	0.002113702	0.008377972
AT5G51310	AT5G51310.1	976	1.481314443	-0.186809072	0.002121903	0.008408624
AT5G58787	AT5G58787.1	1287	0.893690968	4.040502194	0.002124422	0.008416752
AT3G12220	AT3G12220.1	1398	-1.757708237	-0.793572616	0.002132586	0.008447238
AT3G53630	AT3G53630.1	1026	0.461612241	5.401340774	0.002136696	0.008461654
AT4G02100	AT4G02100.1	2082	-0.576246926	2.247858215	0.002141683	0.008479539
AT5G44780	AT5G44780.1	2318	0.55350779	3.170630713	0.002142363	0.008480364
AT3G08660	AT3G08660.1	1745	-0.863839229	0.88214035	0.002148488	0.008502738
AT5G03800	AT5G03800.1	2806	-0.560871663	3.000370376	0.00215702	0.008534628
AT1G45616	AT1G45616.1	2984	1.444762187	1.655984888	0.002158795	0.008539773
AT5G26010	AT5G26010.1	1110	-1.16395668	0.386418953	0.002160589	0.008543792
AT2G40730	AT2G40730.1	2849	-0.288882888	5.626641725	0.002160761	0.008543792
AT5G57260	AT5G57260.1	1609	4.955740443	-0.646978212	0.002162055	0.008544918
AT1G74910	AT1G74910.1	1954	-0.342111884	6.327086422	0.002162275	0.008544918
AT1G21910	AT1G21910.1	1163	-1.290253405	1.516612113	0.002162471	0.008544918
AT2G46690	AT2G46690.1	737	0.410600022	3.723940509	0.002164131	0.00854821
AT4G39860	AT4G39860.1	1221	-0.542534296	3.264270611	0.002164254	0.00854821
AT5G45700	AT5G45700.1	847	-1.52137305	1.198003745	0.002166393	0.00855478
AT1G70980	AT1G70980.1	1940	0.349502883	4.64976714	0.002167838	0.008558607
AT1G68795	AT1G68795.1	797	1.204860957	0.616573975	0.002173325	0.008578388
AT1G28190	AT1G28190.1	1039	1.016339966	2.827691442	0.002174339	0.008580505
AT5G08110	AT5G08110.1	3538	-0.58564287	2.244886595	0.002176279	0.00858628
AT4G16750	AT4G16750.1	842	-0.652545263	2.937848617	0.002177273	0.008588318
AT3G27360	AT3G27360.1	832	-0.54086997	2.611413588	0.002181572	0.00860258
AT2G35330	AT2G35330.1	2672	0.32150739	4.830798403	0.002181845	0.00860258
AT3G54170	AT3G54170.1	1250	0.386361258	3.861936488	0.002187113	0.008621463
AT3G25585	AT3G25585.2	1694	0.316260852	5.076387819	0.002188527	0.008625147
AT5G53370	AT5G53370.1	1976	-0.328975193	5.396055568	0.002190028	0.008629169
AT3G15590	AT3G15590.1	2146	0.451472924	4.921731275	0.002190701	0.008629931
AT3G51720	AT3G51720.1	1406	-0.970201217	2.035864275	0.002191746	0.008632159
AT5G11190	AT5G11190.1	568	-1.310496757	0.34000953	0.002194023	0.008638901
AT2G25590	AT2G25590.1	1305	0.650040021	2.60612934	0.002194418	0.008638901
AT1G49950	AT1G49950.3	1523	0.448309981	4.96070239	0.002199548	0.008657043
AT1G26620	AT1G26620.1	2973	-0.587334469	2.939007504	0.002199989	0.008657043
AT2G24120	AT2G24120.1	3521	0.377373496	6.383334901	0.002201828	0.008662387
AT4G27350	AT4G27350.1	1168	0.667194722	2.713207047	0.00220442	0.008670687
AT4G36750	AT4G36750.1	1133	-0.365416714	4.131718591	0.002214532	0.008707776
AT5G08500	AT5G08500.1	2010	0.410850301	4.498187212	0.002214818	0.008707776
AT5G58200	AT5G58200.2	1032	0.353174458	4.817282377	0.002217774	0.008717494
AT2G19800	AT2G19800.1	1307	-2.021660008	-0.484669868	0.002219996	0.008724324
AT2G46810	AT2G46810.1	1411	0.562787423	3.722348644	0.002221125	0.008726853
AT2G22800	AT2G22800.1	1167	-0.73836114	0.91406399	0.002223864	0.008734432
AT5G11260	AT5G11260.1	898	0.686528196	3.339149338	0.002224346	0.008734432
AT2G42960	AT2G42960.1	1478	-0.842282377	1.079991066	0.002224511	0.008734432
AT2G36200	AT2G36200.2	3436	-0.876532288	2.826226081	0.00222879	0.008749325
AT1G48635	AT1G48635.2	1562	0.396992653	3.985091076	0.002230501	0.008754134
AT1G72210	AT1G72210.1	1398	0.61276272	1.760274295	0.002231385	0.008755693
AT4G25320	AT4G25320.1	1822	-0.472443032	3.211749843	0.002233829	0.00876337
AT5G54660	AT5G54660.1	788	0.55974052	2.812423552	0.002234383	0.008763635
AT4G03415	AT4G03415.1	1726	0.455661981	4.986842305	0.002239534	0.008781922
AT1G36390	AT1G36390.1	1028	0.329380055	5.644884749	0.002248481	0.008815083
AT1G31230	AT1G31230.1	2970	-0.351228881	6.546934992	0.002249183	0.008815916
AT5G48900	AT5G48900.1	1534	-0.595961096	4.014739748	0.002250295	0.008816154
AT5G40490	AT5G40490.1	1659	0.370753474	4.818227639	0.002251076	0.008816154
AT1G02640	AT1G02640.1	2579	-0.663287152	2.416405462	0.002251125	0.008816154
AT5G49880	AT5G49880.1	2614	-0.508171518	3.276455476	0.002251204	0.008816154
AT3G19720	AT3G19720.1	2661	-0.318140657	7.024013108	0.002257335	0.00883824
AT5G57230	AT5G57230.1	685	0.625765364	2.268078899	0.002261536	0.008852761
AT1G53710	AT1G53710.1	1877	0.396498756	3.64807805	0.002266423	0.008869963
AT5G55530	AT5G55530.1	1738	-0.441047654	4.23432703	0.002267911	0.008873855
AT4G19490	AT4G19490.1	3671	0.350633702	5.67845083	0.002277314	0.00890871
AT1G52570	AT1G52570.1	2466	1.06207343	0.616978358	0.002283342	0.008930351
AT3G15354	AT3G15354.1	3096	0.448242241	5.514837401	0.002293531	0.00896825
AT5G44650	AT5G44650.1	1195	-0.324711497	6.278010576	0.002297914	0.008983434
AT2G27200	AT2G27200.1	1870	0.596957125	3.124432305	0.002300402	0.008991207
AT5G35370	AT5G35370.1	2838	-0.707284651	2.715285578	0.00230138	0.008993079
AT3G04730	AT3G04730.1	1274	0.309775825	6.305159535	0.002314153	0.009041027
AT1G20060	AT1G20060.1	2958	-1.101500416	0.862805971	0.002315262	0.009043397
AT4G10925	AT4G10925.1	1144	0.52234293	2.725153028	0.002319995	0.009059916
AT1G80940	AT1G80940.1	1243	0.334998144	4.548144317	0.002321406	0.009063458
AT2G25570	AT2G25570.1	1121	0.47201542	3.065274556	0.002325	0.009075522
AT4G11380	AT4G11380.2	2985	-0.306500338	6.037134995	0.002328305	0.00908645
AT1G23935	AT1G23935.1	2197	-1.057833553	0.788579246	0.002330055	0.009089695
AT4G01710	AT4G01710.1	572	-0.724244239	1.472817932	0.002330147	0.009089695
AT1G32230	AT1G32230.1	2574	0.505451181	7.452879162	0.002333581	0.009101119
AT5G65940	AT5G65940.1	1417	0.27843393	5.204769732	0.002334188	0.009101513
AT1G05010	AT1G05010.1	1360	0.453094639	8.179074038	0.002336375	0.009108067
AT1G51950	AT1G51950.1	1534	-0.468997537	4.380639744	0.002337794	0.009111622
AT2G33735	AT2G33735.1	665	0.91942366	2.369871811	0.002345334	0.009139029
AT1G21280	AT1G21280.1	973	0.598904488	2.390886934	0.002352739	0.0091659
AT2G28056	AT2G28056.1	1099	2.993704945	-0.623251982	0.002353434	0.009166161
AT4G01920	AT4G01920.1	2310	-1.262058203	0.21226775	0.002353825	0.009166161
AT1G03770	AT1G03770.2	1649	-1.000582721	0.667023794	0.002357893	0.009180014
AT1G45976	AT1G45976.1	1075	0.510351886	4.026457537	0.002358535	0.009180527
AT4G34030	AT4G34030.1	2023	-0.314305516	4.755046746	0.002371641	0.009229548
AT1G05575	AT1G05575.1	496	1.357044233	0.998783548	0.002373401	0.009234396
AT1G02305	AT1G02305.1	1396	-0.327249959	5.563192831	0.00237711	0.00924683
AT1G16750	AT1G16750.1	1884	0.427882269	2.874387786	0.002381424	0.009261607
AT1G05340	AT1G05340.1	708	1.597614183	3.620158104	0.002383729	0.009268568
AT3G46530	AT3G46530.1	2971	0.525643677	5.057170215	0.002385419	0.009272145
AT5G43970	AT5G43970.1	596	-0.510060444	4.898723795	0.002385679	0.009272145
AT1G13910	AT1G13910.1	1330	-0.661704282	1.892219039	0.002397199	0.009314904
AT5G46240	AT5G46240.1	2280	0.459384	4.435801144	0.002404883	0.009342746
AT3G13230	AT3G13230.1	889	0.359999514	4.969332824	0.002415462	0.009381819
AT3G16420	AT3G16420.1	1270	-0.654744725	6.013219279	0.002421766	0.009404273
AT1G20870	AT1G20870.1	1575	0.698782771	1.655099103	0.002422411	0.009404748
AT4G14950	AT4G14950.1	1922	0.35801359	4.072140117	0.002423384	0.009406495
AT3G27260	AT3G27260.1	3126	0.348758134	5.273732219	0.002424227	0.009406927
AT3G56460	AT3G56460.1	1395	0.321022372	5.843569398	0.002424541	0.009406927
AT5G64813	AT5G64813.1	1850	-0.338315155	4.454029446	0.002425163	0.009407311
AT3G21790	AT3G21790.1	1487	0.460546027	4.410347696	0.002427671	0.009415009
AT5G46790	AT5G46790.1	889	-0.432094604	4.410989254	0.002437807	0.009452281
AT1G43160	AT1G43160.1	908	1.562792784	4.582523818	0.002443873	0.009473761
AT3G26000	AT3G26000.1	2340	-0.324620864	4.820087954	0.002445002	0.009476094
AT3G18600	AT3G18600.1	1993	-0.312015475	5.496303756	0.002448123	0.009486149
AT3G59210	AT3G59210.1	2046	0.623765347	3.819733082	0.002450299	0.009492534
AT3G14120	AT3G14120.1	3673	0.349644771	4.926852136	0.002454388	0.009506279
AT1G27300	AT1G27300.1	942	-0.573213521	2.709998301	0.002454904	0.009506279
AT1G04870	AT1G04870.2	1560	-0.412361878	4.3890354	0.002471521	0.009568569
AT1G10470	AT1G10470.1	1270	-0.520154426	6.491679926	0.002472767	0.009571333
AT3G56040	AT3G56040.1	2937	-0.308371714	6.423575425	0.002477267	0.009586689
AT2G38790	AT2G38790.1	1075	-0.779644437	2.059225068	0.002485326	0.009615808
AT1G65430	AT1G65430.1	2033	0.366488556	4.964306903	0.002487787	0.009623258
AT3G49870	AT3G49870.1	933	0.436549453	6.14171344	0.002489693	0.009628559
AT3G52390	AT3G52390.2	1077	0.732579036	1.845138575	0.002496209	0.009651688
AT2G16800	AT2G16800.1	1382	-0.395475242	4.646430667	0.002497539	0.009654754
AT3G51895	AT3G51895.1	2264	0.481957539	5.510249299	0.002500464	0.009663174
AT1G25175	AT1G25175.1	683	0.49052965	3.109616619	0.002500791	0.009663174
AT1G25425	AT1G25425.1	631	0.612334646	2.282424036	0.002501382	0.009663381
AT4G34120	AT4G34120.1	1119	0.295952802	7.17843173	0.002506536	0.009681213
AT1G73040	AT1G73040.1	713	1.16926135	0.573977795	0.002509389	0.009688509
AT5G27660	AT5G27660.1	1706	0.96618346	5.34477316	0.002509502	0.009688509
AT2G43330	AT2G43330.1	2035	-0.365860805	4.433067918	0.002512255	0.009697057
AT1G60505	AT1G60505.1	1925	0.477575759	3.189144613	0.002513863	0.009701182
AT3G11490	AT3G11490.1	1303	0.373000807	3.825686785	0.002522473	0.009732322
AT5G01380	AT5G01380.1	1265	1.578673233	1.076881458	0.002528268	0.009752589
AT1G72030	AT1G72030.1	897	-0.537532477	4.822639391	0.002529891	0.009756757
AT3G44200	AT3G44200.1	3314	-0.51269108	3.72923482	0.002531811	0.00976207
AT2G29680	AT2G29680.1	1628	-0.70339492	1.886484585	0.002534378	0.009769874
AT2G33170	AT2G33170.1	4008	-0.485260573	3.257108156	0.002540863	0.009792775
AT5G12130	AT5G12130.1	1491	-0.300342834	5.356536567	0.00254176	0.009794134
AT5G64120	AT5G64120.1	1285	-1.216139207	4.391186919	0.002544381	0.009801503
AT4G37800	AT4G37800.1	1132	-0.598802174	7.160152188	0.002544762	0.009801503
AT4G35780	AT4G35780.1	2095	-0.47378356	3.288898591	0.002546299	0.009805322
AT1G18070	AT1G18070.3	2100	0.282640951	7.023493357	0.002548767	0.00981259
AT5G49720	AT5G49720.1	2354	-0.300057287	7.819166422	0.002549277	0.00981259
AT1G27595	AT1G27595.1	3319	-0.37374788	4.064554545	0.002551889	0.009820542
AT5G65430	AT5G65430.3	1249	0.459742377	6.734352097	0.002555066	0.00983012
AT1G26820	AT1G26820.1	1041	-1.114813658	1.155375847	0.002555471	0.00983012
AT1G78440	AT1G78440.1	1221	-1.417173376	0.217839999	0.002557554	0.009836032
AT1G63090	AT1G63090.1	1329	0.403172387	5.810184138	0.002559425	0.009841125
AT5G61420	AT5G61420.2	1424	-0.442000497	4.988281019	0.002564588	0.009858869
AT5G63930	AT5G63930.1	3414	0.598396057	2.172304194	0.002566831	0.009865383
AT5G13530	AT5G13530.1	4862	0.351263446	5.591212433	0.002571124	0.009879774
AT5G64970	AT5G64970.1	2265	0.688170944	1.835255362	0.002580713	0.009914503
AT2G11810	AT2G11810.1	1603	-1.103820037	0.979844879	0.002587731	0.00993934
AT2G32210	AT2G32210.1	580	1.309674465	2.465196544	0.002589621	0.009944475
AT1G78110	AT1G78110.1	1507	-0.801732976	1.507568825	0.002590821	0.00994696
AT4G14920	AT4G14920.1	3523	-0.470169972	4.000234811	0.002600185	0.009980784
AT3G17660	AT3G17660.1	1037	0.788099301	1.242853299	0.002604212	0.009994108
AT1G04160	AT1G04160.1	4465	-0.553911851	3.410227287	0.002612369	0.010023272
AT1G75000	AT1G75000.1	844	0.6718366	1.94093788	0.002615076	0.01003152
AT2G38400	AT2G38400.2	1607	0.889848172	5.299632723	0.002631482	0.010089746
AT3G62460	AT3G62460.1	866	-0.677938508	2.554590276	0.002631743	0.010089746
AT5G48930	AT5G48930.1	1725	-0.336231301	7.0828705	0.002631937	0.010089746
AT3G49660	AT3G49660.1	1385	0.683583051	2.561659646	0.002637535	0.010109051
AT1G80710	AT1G80710.1	1698	-0.94328715	1.3296805	0.002640464	0.010118122
AT1G26558	AT1G26558.1	478	1.223239931	-0.171054555	0.002643985	0.010129458
AT3G56170	AT3G56170.1	1431	-0.49852168	3.006509351	0.002645818	0.010134322
AT1G76580	AT1G76580.1	3674	0.502064762	4.623919889	0.002654119	0.010163955
AT1G64900	AT1G64900.1	1769	0.431338266	7.374678949	0.002656915	0.010172496
AT3G55920	AT3G55920.1	799	-0.567460511	2.73589586	0.002659351	0.010179658
AT3G58000	AT3G58000.1	527	-0.925669426	0.934198254	0.002662025	0.010187724
AT4G22340	AT4G22340.3	1731	0.627040087	3.544711995	0.002663703	0.010191979
AT1G25280	AT1G25280.1	2107	0.307464233	4.614233044	0.002666308	0.010199775
AT3G60750	AT3G60750.1	2832	-0.281990213	10.77085296	0.002667551	0.010202362
AT2G32880	AT2G32880.1	1205	-0.443390471	4.340665831	0.002669142	0.010206278
AT3G14370	AT3G14370.1	1659	1.655541169	-0.193655725	0.002672194	0.010215775
AT2G37520	AT2G37520.1	3227	0.323756279	5.161070771	0.002675394	0.010225836
AT5G64260	AT5G64260.1	1387	-0.610517008	5.122834629	0.002680886	0.01024465
AT1G68725	AT1G68725.1	745	-0.54289127	2.64471475	0.00268686	0.010265302
AT5G27380	AT5G27380.1	1898	-0.444421184	6.264559788	0.002688	0.010267287
AT3G16780	AT3G16780.1	1012	-0.355489914	5.914333707	0.002688521	0.010267287
AT3G47730	AT3G47730.1	3286	0.393165009	5.383406329	0.002690067	0.01027101
AT2G30920	AT2G30920.1	1344	0.40744404	3.432672572	0.002698816	0.010302226
AT4G27595	AT4G27595.1	3825	-0.7866542	2.738934173	0.002703405	0.010317556
AT5G07590	AT5G07590.1	1648	-0.543190111	2.735204532	0.002712005	0.010348181
AT5G61060	AT5G61060.2	2410	0.321326064	4.591683699	0.002716474	0.010363038
AT5G17650	AT5G17650.1	990	0.488238943	3.013594425	0.002721382	0.01037956
AT1G71900	AT1G71900.1	1734	-0.410789489	3.766639009	0.002722416	0.010381301
AT1G26761	AT1G26761.1	1420	-0.345751831	5.390806558	0.00272408	0.010385448
AT5G20030	AT5G20030.1	1365	-1.232308144	-0.004418414	0.00272534	0.010388049
AT1G72230	AT1G72230.1	916	0.702314456	2.591305611	0.002729936	0.010403364
AT2G32830	AT2G32830.1	1737	1.168202373	0.886446017	0.002732246	0.010409963
AT3G50890	AT3G50890.1	1054	0.77718778	1.955939402	0.002736679	0.010424642
AT1G67480	AT1G67480.1	1852	-0.327862469	5.118089972	0.002738832	0.010430635
AT4G24090	AT4G24090.1	1055	-0.453603311	4.917262328	0.00274212	0.01044095
AT3G20670	AT3G20670.1	645	-0.453797238	4.008158256	0.002747135	0.010457829
AT2G45240	AT2G45240.1	1473	0.277401207	5.315570529	0.002751358	0.010471691
AT2G19740	AT2G19740.1	595	-0.29921255	5.469042378	0.002759942	0.010502138
AT5G27860	AT5G27860.1	794	0.391434214	4.408794464	0.0027633	0.010512694
AT3G22470	AT3G22470.1	2036	-0.837453324	1.108035662	0.002765312	0.010518126
AT2G26260	AT2G26260.1	1924	0.333914051	4.515263363	0.002773476	0.010546949
AT1G60490	AT1G60490.1	2773	-0.442487197	4.299913795	0.002777001	0.010558121
AT2G40150	AT2G40150.1	1441	-0.503132042	2.779485549	0.002780446	0.010568984
AT5G53480	AT5G53480.1	3808	-0.293023427	6.644780233	0.002786544	0.010589927
AT1G55520	AT1G55520.1	1196	0.384367178	4.331516817	0.00279107	0.010604889
AT5G58020	AT5G58020.1	1318	0.380403833	5.395405672	0.002793779	0.010612457
AT1G06520	AT1G06520.1	1993	-1.072289833	0.322452337	0.00279456	0.010612457
AT2G20310	AT2G20310.1	1507	0.52829167	2.760034593	0.002794832	0.010612457
AT5G26820	AT5G26820.1	2124	0.316163644	6.201193363	0.002804077	0.010645315
AT1G01660	AT1G01660.1	1697	1.36648903	0.131598161	0.002805182	0.010647265
AT1G69830	AT1G69830.1	2941	0.301060033	8.129514265	0.002810095	0.010663661
AT2G41820	AT2G41820.1	3254	0.481943673	4.527769092	0.002811455	0.010666572
AT1G74550	AT1G74550.1	1666	1.950322616	-0.302484011	0.002812259	0.010667373
AT4G29100	AT4G29100.1	1711	0.288665671	4.338290215	0.002818325	0.010688129
AT5G14940	AT5G14940.1	1739	-0.772462192	1.591599966	0.002820296	0.010693349
AT1G10970	AT1G10970.1	1543	1.050238965	3.383855632	0.002827255	0.010717233
AT1G23410	AT1G23410.1	607	-0.672444379	2.568739795	0.002827786	0.010717233
AT5G24970	AT5G24970.2	2491	0.428108624	2.961532767	0.002831609	0.010729462
AT3G20390	AT3G20390.1	965	0.358633821	8.423848515	0.002833547	0.010734543
AT5G63110	AT5G63110.1	1740	0.342029857	4.201446051	0.002835371	0.01073919
AT1G15760	AT1G15760.1	608	1.212087209	0.161448866	0.002839474	0.010751742
AT1G51740	AT1G51740.1	1258	0.52652851	3.096716003	0.00283988	0.010751742
AT1G32350	AT1G32350.1	1334	1.912525586	2.457935322	0.002844442	0.010766749
AT4G27140	AT4G27140.1	702	3.443543793	0.049974151	0.002847566	0.010776307
AT5G50250	AT5G50250.1	1104	0.311695183	6.420561311	0.002848438	0.010777337
AT4G21980	AT4G21980.2	889	0.549725658	4.704554649	0.002850065	0.010781228
AT5G53060	AT5G53060.1	2520	0.463637587	3.920891697	0.002852344	0.010787579
AT3G09540	AT3G09540.1	1491	-0.449695665	3.794608623	0.002854088	0.010791908
AT2G20610	AT2G20610.1	1662	-0.507298917	6.903098745	0.002857244	0.010799554
AT3G06830	AT3G06830.1	2119	-1.119963612	0.302808806	0.002857311	0.010799554
AT1G67440	AT1G67440.1	1566	0.477652989	4.656783845	0.0028646	0.010824829
AT1G69526	AT1G69526.2	1379	0.821082891	1.933967083	0.002870205	0.010843735
AT5G51170	AT5G51170.1	1033	0.565593194	2.13650461	0.002870887	0.010844031
AT4G27070	AT4G27070.1	1849	0.445744614	4.766488856	0.002875691	0.010858191
AT3G09300	AT3G09300.1	1794	-0.307353386	4.879022669	0.002875842	0.010858191
AT5G01840	AT5G01840.1	964	0.870508023	3.397850987	0.002890923	0.01091284
AT3G22950	AT3G22950.1	985	0.361936481	4.052774871	0.002892899	0.010918009
AT4G34740	AT4G34740.1	2094	-0.418543736	5.99160815	0.002895192	0.010924371
AT4G39330	AT4G39330.1	1739	-0.469092641	7.346637223	0.002905117	0.010959522
AT2G17240	AT2G17240.1	679	0.36314755	6.577786925	0.002907955	0.01096793
AT4G13040	AT4G13040.3	734	0.45096132	3.076970371	0.0029098	0.010972588
AT5G04360	AT5G04360.1	3008	0.28410072	5.458331419	0.002923176	0.011020718
AT3G11290	AT3G11290.1	1692	0.404873264	3.865137105	0.002923876	0.011021048
AT2G44210	AT2G44210.2	1803	-0.313189457	6.796490182	0.002924523	0.011021176
AT4G02110	AT4G02110.1	4085	-0.625426037	2.182838269	0.002926272	0.011025457
AT1G68340	AT1G68340.1	1049	0.671105813	1.975152976	0.002928892	0.011028791
AT1G71240	AT1G71240.1	2665	0.465754063	4.516185106	0.002928931	0.011028791
AT3G07300	AT3G07300.3	1704	0.303640514	5.132536634	0.002928996	0.011028791
AT1G26910	AT1G26910.1	874	-0.452707849	3.701049693	0.002930262	0.011031249
AT1G73240	AT1G73240.1	2018	0.416205769	4.084110619	0.002942469	0.011074887
AT5G16040	AT5G16040.1	1386	-0.420748927	3.717170045	0.002951405	0.011106196
AT3G21090	AT3G21090.1	2234	-1.308666995	0.387832398	0.002953046	0.01111005
AT1G10380	AT1G10380.1	1229	0.580509869	2.264113256	0.002956461	0.011120572
AT2G44140	AT2G44140.1	3212	-0.347286971	3.973126383	0.002958343	0.011125322
AT5G56120	AT5G56120.1	1163	-1.620637744	1.638783115	0.002959677	0.011128014
AT3G06290	AT3G06290.1	5156	-0.390749682	4.152312085	0.002982588	0.011211531
AT1G07090	AT1G07090.1	942	0.543415938	2.948963907	0.002983136	0.011211531
